Date,Day of the week,Include/Not_Include
2017-10-27,6,Weekday
2017-10-28,7,Weekend
2017-10-29,1,Weekend
2017-10-30,2,Weekday
2017-10-31,3,Weekday
2017-11-01,4,Weekday
2017-11-02,5,Weekday
2017-11-03,6,Weekday
2017-11-04,7,Weekend
2017-11-05,1,Weekend
2017-11-06,2,Weekday
2017-11-07,3,Weekday
2017-11-08,4,Weekday
2017-11-09,5,Weekday
2017-11-10,6,Holiday
2017-11-11,7,Holiday
2017-11-12,1,Weekend
2017-11-13,2,Weekday
2017-11-14,3,Weekday
2017-11-15,4,Weekday
2017-11-16,5,Weekday
2017-11-17,6,Weekday
2017-11-18,7,Weekend
2017-11-19,1,Weekend
2017-11-20,2,Weekday
2017-11-21,3,Weekday
2017-11-22,4,Weekday
2017-11-23,5,Holiday
2017-11-24,6,Weekday
2017-11-25,7,Weekend
2017-11-26,1,Weekend
2017-11-27,2,Weekday
2017-11-28,3,Weekday
2017-11-29,4,Weekday
2017-11-30,5,Weekday
2017-12-01,6,Weekday
2017-12-02,7,Weekend
2017-12-03,1,Weekend
2017-12-04,2,Weekday
2017-12-05,3,Weekday
2017-12-06,4,Weekday
2017-12-07,5,Weekday
2017-12-08,6,Weekday
2017-12-09,7,Weekend
2017-12-10,1,Weekend
2017-12-11,2,Weekday
2017-12-12,3,Weekday
2017-12-13,4,Weekday
2017-12-14,5,Weekday
2017-12-15,6,Weekday
2017-12-16,7,Weekend
2017-12-17,1,Weekend
2017-12-18,2,Weekday
2017-12-19,3,Weekday
2017-12-20,4,Weekday
2017-12-21,5,Weekday
2017-12-22,6,Weekday
2017-12-23,7,Weekend
2017-12-24,1,Weekend
2017-12-25,2,Holiday
2017-12-26,3,Weekday
2017-12-27,4,Weekday
2017-12-28,5,Weekday
2017-12-29,6,Weekday
2017-12-30,7,Weekend
2017-12-31,1,Weekend
